---,ID,Question,OptionA,OptionB,OptionX,OptionY,CorrectAnswer,Hint
Q011,Q011,"NSLOCTEXT(""[6B4F0D8E64C7723A7EB94C0019C0D08D]"", ""229C3EF7123295A24FFFCDBDD99CA1F3"", ""Who defeated Goliath?"")","NSLOCTEXT(""[C735328D753125929C6F893782E42E63]"", ""4EB940ABB4961ECA04A2B012327D6D4B"", ""Saul"")","NSLOCTEXT(""[E8731AFEFCE5CFF096978A0C3FFC527E]"", ""367211DCF420FB0716097354DF5F5419"", ""Samuel"")","NSLOCTEXT(""[323B0D2A27934B0BE54B5AB23A892C0D]"", ""EDE1AC30F75673CD33174AE934AAF63D"", ""David"")","NSLOCTEXT(""[44CBE1FBC0FFD27CF3E28A561BD09E35]"", ""C8606FE72E84DB59F47CDA1BF678A471"", ""Jonathan"")",OptionX,"NSLOCTEXT(""[689A92281F16A6DB38A62DC5CE15DCF3]"", ""E3CA77ACF5B219A834BFD653AA29961C"", ""1 Samuel 17"")"
Q012,Q012,"NSLOCTEXT(""[C3BE0435CE468A4A969BA0B020CBD4A5]"", ""7A0555E4A602334D62DCD8487F9F18D0"", ""What did God use to part the Red Sea?"")","NSLOCTEXT(""[1E64D68928A810F632368552CB36E040]"", ""404EEE1B4A0EF79912D312230476FAE4"", ""A staff"")","NSLOCTEXT(""[F622D889D95F3F346C53BAAB982640D9]"", ""9A51F15325A13720FE3FF0288D8D82BC"", ""A strong east wind"")","NSLOCTEXT(""[EA29E1027A5CBACB1FF2B62E024B4E9E]"", ""89555947E96ADACC4CC8A565DE4262C3"", ""An earthquake"")","NSLOCTEXT(""[2B7C0AE39AEE37BDF1D5D921718D37AA]"", ""F42B1F84C64F3DBA085DB19B17E291AE"", ""Fire"")",OptionB,"NSLOCTEXT(""[6D30B1013AE505D113157E37639DC6C2]"", ""6EEEC57CB32134D340FCC97E1CFAB949"", ""Exodus 14"")"
Q013,Q013,"NSLOCTEXT(""[0D723AE9D9837C7D92427763EF5C608E]"", ""4D40899EC3F92AD6C08770039D91D237"", ""Who was thrown into a lions' den?"")","NSLOCTEXT(""[68D73405EA1D9DA016EA3E2AD5C80759]"", ""5A56709C5F9505B17288A8718042CDD6"", ""Daniel"")","NSLOCTEXT(""[E3A9672A16F4E60B88D8C2BF76CDAC80]"", ""FEE3AB6FDD59CDAD21CB0724018B7FCB"", ""Ezekiel"")","NSLOCTEXT(""[68E2CDF5BD356DE3A80FF1C6EC6CC9A9]"", ""45C47018DAABE4602B069F0624F97AD0"", ""Isaiah"")","NSLOCTEXT(""[CB536632F96F8CED041D89BAE117B355]"", ""363608CD5DD1963ABA07A273046BFF21"", ""Jeremiah"")",OptionA,"NSLOCTEXT(""[888D38A9EAFAEA6DF37698514E3C203C]"", ""2AFE72DA2671515CAE2F790A1627D964"", ""Daniel 6"")"
Q014,Q014,"NSLOCTEXT(""[3C2E26555E7361A191339484FE72E1E9]"", ""3D291166819FF9B7CEAFDD223436B1F7"", ""Who interpreted Pharaoh's dreams?"")","NSLOCTEXT(""[813E29E4F1EFF96CF951F38A54460C7A]"", ""067C449DB9B3CF3DC5ECADB562ADD406"", ""Moses"")","NSLOCTEXT(""[13908D0591AEAF294F7282E637F65999]"", ""E76E18EC48FF9100E0EBD07838A2C6DC"", ""Joseph"")","NSLOCTEXT(""[F0B842F3D68775A67DE39728A542DEB0]"", ""04AEC9D8E696ECF77CF430AF0DA39DC6"", ""Aaron"")","NSLOCTEXT(""[DA9FC280DD33175865EF132E0A0C5F59]"", ""7D99769CFEF72F6B3E96E505A878C011"", ""Judah"")",OptionB,"NSLOCTEXT(""[3CA63CC9FCD953157B88C55238DC9FAC]"", ""6EFFE24EDD2419E3A2D84AD345C3F1C5"", ""Genesis 41"")"
Q015,Q015,"NSLOCTEXT(""[4DD882AD67BC4652715A67C693C6CC2A]"", ""29983500AAACF9BB0620AB94FC497100"", ""How many plagues did God send upon Egypt?"")","NSLOCTEXT(""[02159573D343D3FFD01241E31F76AB6A]"", ""9DCF759C3795686A5D1FAB380FFA10B0"", ""7"")","NSLOCTEXT(""[083D1F1A63A8005DC8E956A50846318C]"", ""44704B41A9B9214B537CB73D3C5E0927"", ""12"")","NSLOCTEXT(""[730A0DA67E62DF959B1021E350882242]"", ""6A45B60809B4DA9C9F55B12D0C8C8C52"", ""10"")","NSLOCTEXT(""[E75B6B4410FC2F317533F94416AB18C9]"", ""BB0A4985859381F960BEDC69B5F8DE90"", ""9"")",OptionX,"NSLOCTEXT(""[F1D090B68B2D18BB889061474F043457]"", ""FF9B7331A13D0AB725BA4CBCCF8DC0AE"", ""Exodus 7-12"")"
Q016,Q016,"NSLOCTEXT(""[50E40BA3617EAEB13B97D2948E61B26F]"", ""49AF8A026F14D976FEB3AAC109209474"", ""What was the name of the garden where Adam and Eve lived?"")","NSLOCTEXT(""[848447079D1251D4F6184CBD522818B8]"", ""E6B5BB5386EFFEEC5A494B5AE7F84A26"", ""Eden"")","NSLOCTEXT(""[700D90694C959DA5AAB518ED44329814]"", ""3E507848935730392E408216E104B9B7"", ""Gethsemane"")","NSLOCTEXT(""[6FD3C1E9278922C619289A32420D95F5]"", ""4B6EECB50C09DD2CD197CDD61E312613"", ""Canaan"")","NSLOCTEXT(""[C55AA4AA7BF072E76EA60C6D5F572CDF]"", ""65C3EB9B40CA409E6641E8A5A88A84F6"", ""Zion"")",OptionA,"NSLOCTEXT(""[0B18A2B636C2E5479884C92B50E12004]"", ""288894CB31DC0FBF0E37F50D8DBC06E9"", ""Genesis 2"")"
Q017,Q017,"NSLOCTEXT(""[04466C02C3EF84147BCAC7BEFC0D34ED]"", ""84DDEB911B89B6F84F861331E3A0917B"", ""Who was Jesus' mother?"")","NSLOCTEXT(""[F958053334DFE63DF2E52BF385CD426B]"", ""F1830C7E0D04A161B015954C53531D62"", ""Elizabeth"")","NSLOCTEXT(""[09047BA9D7ACE661A806457EB1CE3D31]"", ""2937D1A754053D588551E61644D21986"", ""Martha"")","NSLOCTEXT(""[CBD86BA259F961BA018B23328F303481]"", ""AC9F873B7F3F212E4A4B15FC7E23347A"", ""Mary"")","NSLOCTEXT(""[13B704276B4093CB5DC610582635CECD]"", ""D274B2C3AF79C4EDE243506C4BC02C00"", ""Anna"")",OptionX,"NSLOCTEXT(""[62847B907CF5C24C6683C8545FE43F3E]"", ""FD0B98B2FD058AB0EBE27C6027021D11"", ""Luke 1"")"
Q018,Q018,"NSLOCTEXT(""[250E7357936EC9590B6E9D64A1B1D27B]"", ""C05C74B667FADB314EA3BE45A5651229"", ""On what mountain did Moses receive the Ten Commandments?"")","NSLOCTEXT(""[082910FB444616A01117047071D2BA14]"", ""2EF4885BDD516CD539ACB9AF8BA95983"", ""Mount Sinai"")","NSLOCTEXT(""[AFCD642BD55BB1AF573CC326F9CCBB35]"", ""078986EDE12BCC348C178BFDD8BE3316"", ""Mount Ararat"")","NSLOCTEXT(""[2CCEDD3BCCAAF0810EC3EE653ADBBF89]"", ""63D6D54C1D9737D77423E364CB26E10E"", ""Mount Carmel"")","NSLOCTEXT(""[05A70676356221F3AB380EA8D24CF28E]"", ""8ED167CD5047BEE584B53F3565EC800D"", ""Mount Nebo"")",OptionA,"NSLOCTEXT(""[71114CC74CBD167A934B22447C95A875]"", ""D9D7A5C63B064736E74F5F896B00ACD3"", ""Exodus 19-20"")"
Q019,Q019,"NSLOCTEXT(""[35C15479A3EB4B18D1065C0CBD9A6AE1]"", ""17C58D51FD9891BEB550685571E1AD34"", ""Who was the wisest king of Israel?"")","NSLOCTEXT(""[AE84EC73A7E0BA4005BBB4FA4F324D17]"", ""F6DADF21F708C663FEB072F00B0E79DD"", ""David"")","NSLOCTEXT(""[0FB62B4049FE99755207F819FBEBC02B]"", ""0AF1737CC3143F6B8BA006FCED722BEA"", ""Saul"")","NSLOCTEXT(""[6E58BB5842877C3AEB85949AEA38E57C]"", ""791CDBFA59E7B926157D9ABA100BFE86"", ""Rehoboam"")","NSLOCTEXT(""[D18278012C70CE3BEA6CAF625E972C45]"", ""C32DCAE467CF4D7C69EF313961DA095F"", ""Solomon"")",OptionY,"NSLOCTEXT(""[8EC77C64DA6C1849CACA45CF3697390C]"", ""FDC3BCA10B35652FDD2177B5EC898FC6"", ""1 Kings 3"")"
Q020,Q020,"NSLOCTEXT(""[7BA5A5E1B12DB800EC9EA167A53DB595]"", ""0A181B3D9B559010DE1890DB0E23A9F0"", ""Who denied Jesus three times?"")","NSLOCTEXT(""[24ABC43A06709D2B101E481A1BE7C71D]"", ""D9126140E49FB57E913A3BB555CDC01F"", ""John"")","NSLOCTEXT(""[B511A546893FE07CF0399188EBEC85A6]"", ""4818D656E3AFC9FF60ABC1FDBB46C7A6"", ""Peter"")","NSLOCTEXT(""[92B49D4B4D6FBC37BD75D36C689641DE]"", ""68C6B54A313DC3913761BD5D8AE14AB7"", ""James"")","NSLOCTEXT(""[30C0D17C13BC806CC0B48065CC0201E3]"", ""E8FDC1A3AD576759FB8C7030D744A401"", ""Andrew"")",OptionB,"NSLOCTEXT(""[9A82BC57F0A69DA383E8BFD718D18B80]"", ""A061E3D4F51D688B847CB72178B192E5"", ""Luke 22"")"
Q021,Q021,"NSLOCTEXT(""[D6FA07E1F5E842E1CBB94AD3C7F159A1]"", ""582242EAD4DCDF98643DEE28CD7A8392"", ""What did Cain do to his brother Abel?"")","NSLOCTEXT(""[50E5091101430771FE4476250C894876]"", ""5F1957F43472D222C723D358BC39931F"", ""Sold him"")","NSLOCTEXT(""[E150B622A885FEFDFE4B84203D3F019D]"", ""AA47017535276F328227761E621A5CCB"", ""Blessed him"")","NSLOCTEXT(""[24F2E2050397C2F1D3A5AA2172198702]"", ""51BCC00CEEDA7E6FB0BD39F3BFDFED71"", ""Killed him"")","NSLOCTEXT(""[B08FF3CD88126BC742CEE794BFADE9F1]"", ""8006984D1D6340F483A6438E8E20E5A9"", ""Ignored him"")",OptionX,"NSLOCTEXT(""[6B6B6EEAF9C7CFB4C33BF1DB8208E58D]"", ""7FF95B48FD0E6B70ECE7E58DA301C18E"", ""Genesis 4"")"
Q022,Q022,"NSLOCTEXT(""[A24027DB6C4587AFCB68FEE3028843D4]"", ""472B6165B576810EFF7AF436FB74F0C6"", ""Who built the ark to escape the flood?"")","NSLOCTEXT(""[5690D47A77B31EEA0BD2BBF4C219023D]"", ""3C8D38CCB7E431DC49EF464555D416D2"", ""Noah"")","NSLOCTEXT(""[275646A5C639606BBF2A40E3246A8812]"", ""E75568E5F26054EFE071F3E6F60BEB82"", ""Enoch"")","NSLOCTEXT(""[732F6501D08B865F32AD70D4C15D9AFE]"", ""0B22DD3EF89BE4651EAC78DEEB43AAF2"", ""Methuselah"")","NSLOCTEXT(""[F14081FF5765BB38C56FA14B09FBB873]"", ""EDEF172FB31BF9FA5669FA33C68CE1E3"", ""Lamech"")",OptionA,"NSLOCTEXT(""[D055F9FAFEE6C5C7BA98AFB3B7042006]"", ""DDAE217106D31AFB306ECBBF10796EB6"", ""Genesis 6"")"
Q023,Q023,"NSLOCTEXT(""[3FB0E621C460F537F83988FB1BF39E09]"", ""5DC88E0AB25EB5BAADCCAC83831F4C92"", ""How many years did Noah's ark take to build, per common estimates?"")","NSLOCTEXT(""[3FBC805607EFAC430D88FE4F05584672]"", ""3FDC3C29D3F1369DCA8CA939BE3A7087"", ""10 years"")","NSLOCTEXT(""[14CF98D490D144D8DD207A3006E9A6EB]"", ""680850E066DB528744921B0ECED2217A"", ""120 years"")","NSLOCTEXT(""[73FDE317A13EB3FF2D7CDFDB7F9443EA]"", ""CEBB67F285B5F4826B711DA87CBCF825"", ""50 years"")","NSLOCTEXT(""[055C6E9637CF9BBF177D6BBE4D7242B1]"", ""3AC29BBCB7516A77EAE8849BF462F57F"", ""75 years"")",OptionB,"NSLOCTEXT(""[3AB495B817ABC725232F7936115F42EE]"", ""5B84A9FEA2F744C177504E2F96B7B361"", ""Genesis 6:3"")"
Q024,Q024,"NSLOCTEXT(""[30544C0D69E3DB0EEAAF3080F08566C4]"", ""780792E8F66371114C1AE270D5CDB290"", ""What was the first miracle Jesus performed?"")","NSLOCTEXT(""[9643637CE531F6B8C50732E4E872EB8D]"", ""FFC537F0285E573BA178387F0089599B"", ""Healing the blind"")","NSLOCTEXT(""[186DEB9D2C5FB62674C7E8B9D12A4606]"", ""A11317FF6F3AE24C5374C898D0BC10CA"", ""Walking on water"")","NSLOCTEXT(""[8958BF364BC91CEC280D3D54018873CC]"", ""590EC079D32771C375BEE4D5CA66C729"", ""Turning water into wine"")","NSLOCTEXT(""[87097671C6E7C354B7B4EF3F9655F1BE]"", ""F32DF27771373009C8F5729E7714A0ED"", ""Feeding 5000"")",OptionX,"NSLOCTEXT(""[49C9253A273AF2CC6FB8357841C8D034]"", ""28A1E3377DF0876655BCC1D4AA49EEEF"", ""John 2"")"
Q025,Q025,"NSLOCTEXT(""[A4D5094602256DBE1A1A199E83417D99]"", ""75C567C6B1F911F8AAF721E1C7376ED5"", ""Who was the father of the twelve tribes of Israel?"")","NSLOCTEXT(""[355369B26071574F53917BB02E78CFE7]"", ""9652B63706E5C1067B0AA51FFBC106F8"", ""Abraham"")","NSLOCTEXT(""[A9DE2E749DA52AF3C9E39C29E53CA93F]"", ""54DDB6AF150417AF153F6F9E5DFF2512"", ""Isaac"")","NSLOCTEXT(""[31FC9921693208260D5B757E7EDD99A6]"", ""960108E418D8F858D3ACB8703030521A"", ""Jacob"")","NSLOCTEXT(""[483358F2F9E42AC4326B227C5C57D85D]"", ""B6277D46B7C868F400060CDE1029201A"", ""Joseph"")",OptionX,"NSLOCTEXT(""[92513CA7651C2E0F7BBAFFA72827BB81]"", ""5CF872B4A562E2AFC9E73209903ABA77"", ""Genesis 35"")"
Q026,Q026,"NSLOCTEXT(""[7D7C5AE304B1931B6CAB48739B49ABAD]"", ""EFCB76D3AD2835D71355020AE2F6DE0B"", ""Who was sold into slavery by his brothers?"")","NSLOCTEXT(""[64A8FDBE1A09CCEE60259BC73A1FFB4D]"", ""B1CF20FF99823A08AE0EFC1206E3C22E"", ""Benjamin"")","NSLOCTEXT(""[C5FBA1F856902D6BCB43A44816F0F4B8]"", ""18A28530AC20F861CB06D97FF42CC49B"", ""Joseph"")","NSLOCTEXT(""[08BBE1CBE138EA813D9442A546952A1A]"", ""9A96CE2B9DDD3A4FD44A4C4557CB4358"", ""Reuben"")","NSLOCTEXT(""[0E14F5BF58D6892336EDDF72C34757ED]"", ""49177260121848A05C08A30FF295C786"", ""Judah"")",OptionB,"NSLOCTEXT(""[AE14830169346EF2C1362536F8E55375]"", ""97D6D0DFCEDBC8E79753136094032FF6"", ""Genesis 37"")"
Q027,Q027,"NSLOCTEXT(""[8498A8C8928CCF34C86DD1069BEEED39]"", ""9A9B3C9B29B1CD401C70AD9E063EB632"", ""What is the last book of the Old Testament?"")","NSLOCTEXT(""[6AE2A6EDF8BBB71110622D375027CADB]"", ""E257946B50F26E66DEE7876E35516114"", ""Malachi"")","NSLOCTEXT(""[D14BB689D139CBED50E3B947E381DD1E]"", ""BE5D03B9E0882020C8C0809ACE04302E"", ""Micah"")","NSLOCTEXT(""[10EE3593B261CFC2C89AB17C76218FEC]"", ""7CD5FBD3AA38C39BD7BDEC7D0688F32D"", ""Zechariah"")","NSLOCTEXT(""[005FCC66EE5B7A1F3912423294C990A5]"", ""28BE89FB26F7550C72906FE145E673F4"", ""Haggai"")",OptionA,"NSLOCTEXT(""[5A03C8BAB4D5031F2A72C24B1020753E]"", ""2B1D84075F2251DE7B3D7D04B1B033DE"", ""Malachi 1"")"
Q028,Q028,"NSLOCTEXT(""[056A319C97716C5A3176734F41F18BE3]"", ""D433BD6CD2655B5B446FB7BCCB1C7F67"", ""What is the first book of the New Testament?"")","NSLOCTEXT(""[9535905E849B53DE78DB95A776C45BF2]"", ""C5B6DA9574021E8A1D703641C0BE0CDF"", ""Mark"")","NSLOCTEXT(""[64CD38D94C9C7DF32EF07F7E159552BE]"", ""BAA94D690E6AB6681DD4FFEF93DA4F7F"", ""Luke"")","NSLOCTEXT(""[3910B6F7E926B16FB5FA99C64D6388CA]"", ""861ED4AD6DF7F19F2A7AEEA82222F459"", ""Matthew"")","NSLOCTEXT(""[6ABF1915EEA9B73A54C317D8A4DE36AF]"", ""29EA52D8C74B19C1A415D804DFF47F9B"", ""John"")",OptionX,"NSLOCTEXT(""[22212779674DD91B99AF50396041DC9E]"", ""1F90728B94676124FAF5623AB3FFBAF7"", ""Matthew 1"")"
Q029,Q029,"NSLOCTEXT(""[4CDF5AF1406E1A2829F3EEDE2864648D]"", ""D6397C2AFC659204AA8DB7942F6977CB"", ""Who baptized Jesus?"")","NSLOCTEXT(""[9CFDA2D0406550A38E4EF2B484FA65CD]"", ""3C217DDB468E1B35C3D02195540FCC78"", ""Peter"")","NSLOCTEXT(""[6D1B1772B765D6636664B7096F12F365]"", ""83F39CF6E75C1BEDF23D33005278CD10"", ""John the Baptist"")","NSLOCTEXT(""[16F43A2C884F34C67E9C13D9BE6B63B3]"", ""DD6F3EBE1DF66D58AC355BE4ECA93708"", ""Andrew"")","NSLOCTEXT(""[DF097EC6B5C722871FED871E913E7AD5]"", ""2FC0843656A0A3A42FB46A16BDA5D609"", ""Philip"")",OptionB,"NSLOCTEXT(""[08EE153EF52437E37B27866393EDEC39]"", ""79399494EBD01ADC5B45E8AB0509501A"", ""Matthew 3"")"
Q030,Q030,"NSLOCTEXT(""[C72E16E5C442DAF8047894D8D9956960]"", ""7ABA3EAAD92CEC57132038322642133D"", ""Where was Jesus born?"")","NSLOCTEXT(""[628DC39D973AD95CAE6E831C79B5D0B8]"", ""13FB8BEE475054A301DE719BAD094624"", ""Nazareth"")","NSLOCTEXT(""[310EAD9A94D81F7C825B599D32B902E7]"", ""017F662DA298B50A9271C8E218E050F2"", ""Jerusalem"")","NSLOCTEXT(""[009603FDF58B642EED938DBADEA2B699]"", ""E15A597DB5DA6807A05416DF96841201"", ""Bethlehem"")","NSLOCTEXT(""[65378F2CB412588560E3FB32E45B3C57]"", ""2FCE2489152C4DE9E3715913FB8205B6"", ""Capernaum"")",OptionX,"NSLOCTEXT(""[986F09C3DE124DEFE38307B87E5DDB1D]"", ""44F81993F2E74308C39FD9A1F290BF8F"", ""Luke 2"")"
